32	220	219	219	219	219	220	32	32	32	32	32	219	219	219	219	219	219	32	32	32	32	32	32	32	32	219	219	32	32	32	32	32	219	219	32	32	32	32	32	220	219	219	219	219	220	32	10
																																															
219	219	32	32	32	32	219	219	32	32	32	32	32	32	219	219	32	32	32	32	32	32	32	32	32	32	219	219	219	32	32	32	32	219	219	32	32	32	32	219	219	32	32	32	32	219	219	10
																																															
219	219	32	32	32	32	32	32	32	32	32	32	32	32	219	219	32	32	32	32	32	32	32	32	32	32	219	219	223	219	220	32	32	219	219	32	32	32	32	219	219	32	32	32	32	219	219	10
																																															
32	223	219	219	219	219	220	32	32	32	32	32	32	32	219	219	32	32	32	32	32	32	32	32	32	32	219	219	32	223	219	220	32	219	219	32	32	32	32	219	219	32	32	32	32	219	219	10
																																															
32	32	32	32	32	32	219	219	32	32	32	32	32	32	219	219	32	32	32	32	32	32	32	32	32	32	219	219	32	32	223	219	220	219	219	32	32	32	32	219	219	32	32	32	32	219	219	10
																																															
219	219	32	32	32	32	219	219	32	32	32	32	32	32	219	219	32	32	32	32	32	32	32	32	32	32	219	219	32	32	32	32	219	219	219	32	32	32	32	219	219	32	32	32	32	219	219	10
																																															
32	223	219	219	219	219	223	32	32	32	32	32	219	219	219	219	219	219	32	32	32	32	32	32	32	32	219	219	32	32	32	32	32	219	219	32	32	32	32	32	223	219	219	219	219	223	32	0
																																															
