0	0	12	12	12	12	0	0	0	14	14	14	10	10	10	0	0	0	11	11	0	0	0	0	0	9	9	0	0	0	13	13	13	13	0	0
0	12	12	12	12	12	14	0	0	14	14	14	10	10	10	0	0	0	11	11	0	0	0	0	0	9	9	0	0	9	13	13	13	13	13	0
12	12	12	0	0	12	14	14	0	0	0	14	10	0	0	0	0	0	11	11	11	0	0	0	0	9	9	0	9	9	13	0	0	13	13	13
12	12	0	0	0	0	14	14	0	0	0	14	10	0	0	0	0	0	11	11	11	0	0	0	0	9	9	0	9	9	0	0	0	0	13	13
4	12	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	11	11	11	11	0	0	0	9	9	0	9	9	0	0	0	0	13	5
4	12	12	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	11	11	0	11	11	0	0	9	9	0	9	9	0	0	0	0	13	5
0	4	12	12	12	12	0	0	0	0	0	14	10	0	0	0	0	0	11	11	0	11	11	0	0	9	9	0	9	9	0	0	0	0	5	5
0	0	4	4	4	12	14	0	0	0	0	14	10	0	0	0	0	0	11	11	0	0	11	11	0	9	9	0	9	1	0	0	0	0	5	5
0	0	0	0	0	4	6	14	0	0	0	14	10	0	0	0	0	0	11	11	0	0	11	11	0	9	9	0	1	1	0	0	0	0	5	5
0	0	0	0	0	0	6	6	0	0	0	6	2	0	0	0	0	0	3	3	0	0	0	3	1	1	1	0	1	1	0	0	0	0	5	5
4	4	0	0	0	0	6	6	0	0	0	6	2	0	0	0	0	0	3	3	0	0	0	0	1	1	1	0	1	1	0	0	0	0	5	5
4	4	4	0	0	4	6	6	0	0	0	6	2	0	0	0	0	0	3	3	0	0	0	0	1	1	1	0	1	1	5	0	0	5	5	5
0	4	4	4	4	4	6	0	0	6	6	6	2	2	2	0	0	0	3	3	0	0	0	0	0	1	1	0	0	1	5	5	5	5	5	0
0	0	4	4	4	4	0	0	0	6	6	6	2	2	2	0	0	0	3	3	0	0	0	0	0	1	1	0	0	0	5	5	5	5	0	0
